origin_id,destination_id,weight
R0C0,R1C0,0.5
R0C0,R0C1,0.5
R0C1,R1C1,0.3333333333333333
R0C1,R0C2,0.3333333333333333
R0C1,R0C0,0.3333333333333333
R0C2,R1C2,0.3333333333333333
R0C2,R0C3,0.3333333333333333
R0C2,R0C1,0.3333333333333333
R0C3,R1C3,0.3333333333333333
R0C3,R0C4,0.3333333333333333
R0C3,R0C2,0.3333333333333333
R0C4,R1C4,0.5
R0C4,R0C3,0.5
R1C0,R2C0,0.3333333333333333
R1C0,R1C1,0.3333333333333333
R1C0,R0C0,0.3333333333333333
R1C1,R2C1,0.25
R1C1,R1C2,0.25
R1C1,R1C0,0.25
R1C1,R0C1,0.25
R1C2,R2C2,0.25
R1C2,R1C3,0.25
R1C2,R1C1,0.25
R1C2,R0C2,0.25
R1C3,R2C3,0.25
R1C3,R1C4,0.25
R1C3,R1C2,0.25
R1C3,R0C3,0.25
R1C4,R2C4,0.3333333333333333
R1C4,R1C3,0.3333333333333333
R1C4,R0C4,0.3333333333333333
R2C0,R3C0,0.3333333333333333
R2C0,R2C1,0.3333333333333333
R2C0,R1C0,0.3333333333333333
R2C1,R3C1,0.25
R2C1,R2C2,0.25
R2C1,R2C0,0.25
R2C1,R1C1,0.25
R2C2,R3C2,0.25
R2C2,R2C3,0.25
R2C2,R2C1,0.25
R2C2,R1C2,0.25
R2C3,R3C3,0.25
R2C3,R2C4,0.25
R2C3,R2C2,0.25
R2C3,R1C3,0.25
R2C4,R3C4,0.3333333333333333
R2C4,R2C3,0.3333333333333333
R2C4,R1C4,0.3333333333333333
R3C0,R4C0,0.3333333333333333
R3C0,R3C1,0.3333333333333333
R3C0,R2C0,0.3333333333333333
R3C1,R4C1,0.25
R3C1,R3C2,0.25
R3C1,R3C0,0.25
R3C1,R2C1,0.25
R3C2,R4C2,0.25
R3C2,R3C3,0.25
R3C2,R3C1,0.25
R3C2,R2C2,0.25
R3C3,R4C3,0.25
R3C3,R3C4,0.25
R3C3,R3C2,0.25
R3C3,R2C3,0.25
R3C4,R4C4,0.3333333333333333
R3C4,R3C3,0.3333333333333333
R3C4,R2C4,0.3333333333333333
R4C0,R4C1,0.5
R4C0,R3C0,0.5
R4C1,R4C2,0.3333333333333333
R4C1,R4C0,0.3333333333333333
R4C1,R3C1,0.3333333333333333
R4C2,R4C3,0.3333333333333333
R4C2,R4C1,0.3333333333333333
R4C2,R3C2,0.3333333333333333
R4C3,R4C4,0.3333333333333333
R4C3,R4C2,0.3333333333333333
R4C3,R3C3,0.3333333333333333
R4C4,R4C3,0.5
R4C4,R3C4,0.5
