unit_id,time_id,x1,x2,y
U000,2020,0.8911,-2.4733,5.1986
U001,2020,2.7682,-1.2002,5.8219
U002,2020,1.795,-1.1446,3.9136
U003,2020,2.3094,0.9588,3.7428
U004,2020,2.973,-0.0286,4.819
U005,2020,2.2477,0.6627,4.0398
U006,2020,2.3622,-1.4748,4.2714
U007,2020,1.6048,-1.3373,4.4521
U008,2020,1.7413,0.1645,3.0958
U009,2020,2.7633,-2.0028,6.0427
U010,2020,1.7311,-0.2889,4.8673
U011,2020,1.5733,0.5466,4.9047
U012,2020,3.3572,0.4363,5.8948
U013,2020,2.1944,1.6048,4.0447
U014,2020,2.1566,-1.6365,4.9823
U015,2020,0.807,-0.2795,1.2864
U017,2020,3.6566,0.142,6.2689
U018,2020,1.6023,-0.6396,4.1399
U019,2020,1.1778,-0.9175,4.8041
U000,2021,2.472,-0.0552,4.7712
U001,2021,0.9319,-0.3365,2.8756
U002,2021,1.6333,0.0549,2.0172
U003,2021,0.533,0.0104,2.5422
U004,2021,2.2118,1.4951,2.9385
U005,2021,2.7922,-1.1642,4.6148
U006,2021,0.4402,0.1122,0.4179
U007,2021,0.1072,1.7945,0.5866
U008,2021,1.2741,-1.8487,2.395
U009,2021,1.8575,1.0529,2.2071
U010,2021,3.4503,0.3257,4.7238
U011,2021,2.9139,-0.1219,4.3081
U012,2021,0.3247,-1.9896,2.2765
U013,2021,1.5001,0.6502,2.8218
U014,2021,1.1217,-0.0466,1.6846
U015,2021,0.3841,-0.8215,0.7083
U017,2021,2.723,0.0002,5.3479
U018,2021,-0.7899,-0.5172,1.882
U019,2021,4.4745,1.416,5.7928
U000,2022,2.5368,-0.497,5.6054
U001,2022,2.3232,0.4455,3.6464
U002,2022,3.1757,-0.6579,3.5456
U003,2022,0.9128,-0.5011,2.9721
U004,2022,2.8364,-2.3358,4.785
U005,2022,2.2569,-0.3886,2.8645
U006,2022,0.575,0.34,1.6933
U007,2022,2.4722,-0.3311,3.7327
U008,2022,0.4396,-0.9785,1.3438
U009,2022,2.9566,-1.1763,3.8126
U010,2022,1.0511,-0.7559,2.4875
U011,2022,1.207,0.5428,3.676
U012,2022,1.6593,1.1422,3.0237
U013,2022,0.8471,0.8929,1.9117
U014,2022,3.4259,-1.2045,4.8506
U015,2022,1.467,-1.8483,1.5623
U016,2022,1.7363,-0.1965,2.155
U017,2022,1.005,-0.1895,3.4901
U018,2022,0.1335,-1.5692,2.0521
U019,2022,1.8905,0.3688,4.062
U000,2023,2.7818,-1.6591,4.4907
U001,2023,2.7079,-0.4784,2.5232
U002,2023,2.332,-0.25,2.1947
U003,2023,1.9868,-0.6395,2.08
U004,2023,-0.256,-0.9695,-0.1214
U005,2023,1.6453,-0.2197,1.844
U006,2023,1.345,-0.2164,0.595
U007,2023,2.794,-1.2843,2.9335
U008,2023,4.056,-0.5038,3.0674
U009,2023,1.4187,0.0728,-0.1523
U010,2023,-0.0089,0.8885,0.0638
U011,2023,2.2943,-0.6033,2.4702
U013,2023,1.9538,-0.8637,2.6183
U014,2023,1.5509,0.0323,1.138
U015,2023,2.3997,1.5535,0.5305
U016,2023,1.9687,-0.6019,1.8387
U017,2023,2.2303,-1.0424,3.9691
U018,2023,2.359,0.2009,1.3467
U019,2023,2.3715,0.3211,3.0717
U000,2024,2.5132,-0.9768,6.6553
U001,2024,3.678,-0.7306,5.9965
U002,2024,3.2615,-0.1377,3.4013
U003,2024,2.1764,-0.8414,3.2962
U004,2024,1.9503,0.5501,2.3979
U005,2024,3.2381,-0.2321,3.7027
U006,2024,2.5951,-1.4648,2.9504
U007,2024,1.8238,-0.0074,2.6656
U008,2024,1.2329,-0.3455,1.5701
U009,2024,0.9469,0.2324,1.8454
U010,2024,2.9018,-1.4476,3.9717
U011,2024,2.0414,0.7854,3.3585
U012,2024,2.1138,-1.1118,3.6032
U013,2024,1.3369,-1.4416,4.0697
U014,2024,2.1897,-0.1252,2.6214
U015,2024,2.7224,0.2311,1.9913
U016,2024,1.6325,-0.7035,2.2776
U017,2024,2.4234,0.2535,3.2088
U018,2024,0.1578,2.178,-0.2064
U019,2024,2.0674,-0.0861,3.4549
