origin_id,destination_id,weight
U000,U001,0.3333333333333333
U000,U005,0.3333333333333333
U000,U006,0.3333333333333333
U001,U000,0.2
U001,U002,0.2
U001,U005,0.2
U001,U006,0.2
U001,U007,0.2
U002,U001,0.2
U002,U003,0.2
U002,U006,0.2
U002,U007,0.2
U002,U008,0.2
U003,U002,0.2
U003,U004,0.2
U003,U007,0.2
U003,U008,0.2
U003,U009,0.2
U004,U003,0.3333333333333333
U004,U008,0.3333333333333333
U004,U009,0.3333333333333333
U005,U000,0.2
U005,U001,0.2
U005,U006,0.2
U005,U010,0.2
U005,U011,0.2
U006,U000,0.125
U006,U001,0.125
U006,U002,0.125
U006,U005,0.125
U006,U007,0.125
U006,U010,0.125
U006,U011,0.125
U006,U012,0.125
U007,U001,0.125
U007,U002,0.125
U007,U003,0.125
U007,U006,0.125
U007,U008,0.125
U007,U011,0.125
U007,U012,0.125
U007,U013,0.125
U008,U002,0.125
U008,U003,0.125
U008,U004,0.125
U008,U007,0.125
U008,U009,0.125
U008,U012,0.125
U008,U013,0.125
U008,U014,0.125
U009,U003,0.2
U009,U004,0.2
U009,U008,0.2
U009,U013,0.2
U009,U014,0.2
U010,U005,0.2
U010,U006,0.2
U010,U011,0.2
U010,U015,0.2
U010,U016,0.2
U011,U005,0.125
U011,U006,0.125
U011,U007,0.125
U011,U010,0.125
U011,U012,0.125
U011,U015,0.125
U011,U016,0.125
U011,U017,0.125
U012,U006,0.125
U012,U007,0.125
U012,U008,0.125
U012,U011,0.125
U012,U013,0.125
U012,U016,0.125
U012,U017,0.125
U012,U018,0.125
U013,U007,0.125
U013,U008,0.125
U013,U009,0.125
U013,U012,0.125
U013,U014,0.125
U013,U017,0.125
U013,U018,0.125
U013,U019,0.125
U014,U008,0.2
U014,U009,0.2
U014,U013,0.2
U014,U018,0.2
U014,U019,0.2
U015,U010,0.3333333333333333
U015,U011,0.3333333333333333
U015,U016,0.3333333333333333
U016,U010,0.2
U016,U011,0.2
U016,U012,0.2
U016,U015,0.2
U016,U017,0.2
U017,U011,0.2
U017,U012,0.2
U017,U013,0.2
U017,U016,0.2
U017,U018,0.2
U018,U012,0.2
U018,U013,0.2
U018,U014,0.2
U018,U017,0.2
U018,U019,0.2
U019,U013,0.3333333333333333
U019,U014,0.3333333333333333
U019,U018,0.3333333333333333
